1,1,15,0,0,0,0,0,0,0
1,2,12,15,0,0,0,0,0,0
1,3,8,12,15,0,0,0,0,0
1,4,10,8,12,15,0,0,0,0
1,5,12,10,8,12,15,0,0,0
1,6,13,12,10,8,12,15,0,0
1,7,0,13,12,10,8,12,15,0
1,8,1,0,13,12,10,8,12,15
2,1,15,1,0,13,12,10,8,12
2,2,12,15,1,0,13,12,10,8
2,3,8,12,15,1,0,13,12,10
2,4,10,8,12,15,1,0,13,12
2,5,12,10,8,12,15,1,0,13
2,6,13,12,10,8,12,15,1,0
2,7,0,13,12,10,8,12,15,1
2,8,1,0,13,12,10,8,12,15
3,1,13,1,0,13,12,10,8,12
3,2,1,13,1,0,13,12,10,8
3,3,10,1,13,1,0,13,12,10
3,4,8,10,1,13,1,0,13,12
3,5,13,8,10,1,13,1,0,13
3,6,12,13,8,10,1,13,1,0
3,7,13,12,13,8,10,1,13,1
3,8,15,13,12,13,8,10,1,13
4,1,12,15,13,12,13,8,10,1
4,2,13,12,15,13,12,13,8,10
4,3,15,13,12,15,13,12,13,8
4,4,8,15,13,12,15,13,12,13
4,5,13,8,15,13,12,15,13,12
4,6,12,13,8,15,13,12,15,13
4,7,6,12,13,8,15,13,12,15
4,8,1,6,12,13,8,15,13,12
5,1,13,1,6,12,13,8,15,13
5,2,1,13,1,6,12,13,8,15
5,3,10,1,13,1,6,12,13,8
5,4,8,10,1,13,1,6,12,13
5,5,13,8,10,1,13,1,6,12
5,6,12,13,8,10,1,13,1,6
5,7,13,12,13,8,10,1,13,1
5,8,15,13,12,13,8,10,1,13
6,1,13,15,13,12,13,8,10,1
6,2,1,13,15,13,12,13,8,10
6,3,10,1,13,15,13,12,13,8
6,4,8,10,1,13,15,13,12,13
6,5,13,8,10,1,13,15,13,12
6,6,12,13,8,10,1,13,15,13
6,7,13,12,13,8,10,1,13,15
6,8,8,13,12,13,8,10,1,13
7,1,13,8,13,12,13,8,10,1
7,2,1,13,8,13,12,13,8,10
7,3,10,1,13,8,13,12,13,8
7,4,8,10,1,13,8,13,12,13
7,5,13,8,10,1,13,8,13,12
7,6,12,13,8,10,1,13,8,13
7,7,13,12,13,8,10,1,13,8
7,8,1,13,12,13,8,10,1,13
8,1,15,1,13,12,13,8,10,1
8,2,13,15,1,13,12,13,8,10
8,3,12,13,15,1,13,12,13,8
8,4,10,12,13,15,1,13,12,13
8,5,13,10,12,13,15,1,13,12
8,6,12,13,10,12,13,15,1,13
8,7,10,12,13,10,12,13,15,1
8,8,8,10,12,13,10,12,13,15
