1,1,1,0,0,0,0,0,0,0
1,2,3,1,0,0,0,0,0,0
1,3,5,3,1,0,0,0,0,0
1,4,0,5,3,1,0,0,0,0
1,5,5,0,5,3,1,0,0,0
1,6,3,5,0,5,3,1,0,0
1,7,0,3,5,0,5,3,1,0
1,8,3,0,3,5,0,5,3,1
2,1,0,3,0,3,5,0,5,3
2,2,25,0,3,0,3,5,0,5
2,3,10,25,0,3,0,3,5,0
2,4,25,10,25,0,3,0,3,5
2,5,8,25,10,25,0,3,0,3
2,6,6,8,25,10,25,0,3,0
2,7,0,6,8,25,10,25,0,3
2,8,0,0,6,8,25,10,25,0
3,1,1,0,0,6,8,25,10,25
3,2,3,1,0,0,6,8,25,10
3,3,5,3,1,0,0,6,8,25
3,4,5,5,3,1,0,0,6,8
3,5,5,5,5,3,1,0,0,6
3,6,3,5,5,5,3,1,0,0
3,7,3,3,5,5,5,3,1,0
3,8,3,3,3,5,5,5,3,1
4,1,0,3,3,3,5,5,5,3
4,2,13,0,3,3,3,5,5,5
4,3,13,13,0,3,3,3,5,5
4,4,0,13,13,0,3,3,3,5
4,5,12,0,13,13,0,3,3,3
4,6,12,12,0,13,13,0,3,3
4,7,0,12,12,0,13,13,0,3
4,8,0,0,12,12,0,13,13,0
5,1,1,0,0,12,12,0,13,13
5,2,3,1,0,0,12,12,0,13
5,3,10,3,1,0,0,12,12,0
5,4,0,10,3,1,0,0,12,12
5,5,10,0,10,3,1,0,0,12
5,6,8,10,0,10,3,1,0,0
5,7,0,8,10,0,10,3,1,0
5,8,8,0,8,10,0,10,3,1
6,1,0,8,0,8,10,0,10,3
6,2,25,0,8,0,8,10,0,10
6,3,10,25,0,8,0,8,10,0
6,4,25,10,25,0,8,0,8,10
6,5,8,25,10,25,0,8,0,8
6,6,6,8,25,10,25,0,8,0
6,7,0,6,8,25,10,25,0,8
6,8,0,0,6,8,25,10,25,0
7,1,1,0,0,6,8,25,10,25
7,2,18,1,0,0,6,8,25,10
7,3,18,18,1,0,0,6,8,25
7,4,1,18,18,1,0,0,6,8
7,5,17,1,18,18,1,0,0,6
7,6,17,17,1,18,18,1,0,0
7,7,1,17,17,1,18,18,1,0
7,8,1,1,17,17,1,18,18,1
8,1,3,1,1,17,17,1,18,18
8,2,20,3,1,1,17,17,1,18
8,3,20,20,3,1,1,17,17,1
8,4,5,20,20,3,1,1,17,17
8,5,18,5,20,20,3,1,1,17
8,6,18,18,5,20,20,3,1,1
8,7,1,18,18,5,20,20,3,1
8,8,1,1,18,18,5,20,20,3
