1,1,13,0,0,0,0,0,0,0
1,2,17,13,0,0,0,0,0,0
1,3,13,17,13,0,0,0,0,0
1,4,20,13,17,13,0,0,0,0
1,5,13,20,13,17,13,0,0,0
1,6,18,13,20,13,17,13,0,0
1,7,13,18,13,20,13,17,13,0
1,8,25,13,18,13,20,13,17,13
2,1,10,25,13,18,13,20,13,17
2,2,13,10,25,13,18,13,20,13
2,3,10,13,10,25,13,18,13,20
2,4,10,10,13,10,25,13,18,13
2,5,15,10,10,13,10,25,13,18
2,6,6,15,10,10,13,10,25,13
2,7,13,6,15,10,10,13,10,25
2,8,5,13,6,15,10,10,13,10
3,1,13,5,13,6,15,10,10,13
3,2,3,13,5,13,6,15,10,10
3,3,13,3,13,5,13,6,15,10
3,4,1,13,3,13,5,13,6,15
3,5,1,1,13,3,13,5,13,6
3,6,3,1,1,13,3,13,5,13
3,7,3,3,1,1,13,3,13,5
3,8,5,3,3,1,1,13,3,13
4,1,0,5,3,3,1,1,13,3
4,2,18,0,5,3,3,1,1,13
4,3,0,18,0,5,3,3,1,1
4,4,20,0,18,0,5,3,3,1
4,5,0,20,0,18,0,5,3,3
4,6,17,0,20,0,18,0,5,3
4,7,0,17,0,20,0,18,0,5
4,8,25,0,17,0,20,0,18,0
5,1,0,25,0,17,0,20,0,18
5,2,25,0,25,0,17,0,20,0
5,3,0,25,0,25,0,17,0,20
5,4,24,0,25,0,25,0,17,0
5,5,22,24,0,25,0,25,0,17
5,6,22,22,24,0,25,0,25,0
5,7,20,22,22,24,0,25,0,25
5,8,20,20,22,22,24,0,25,0
6,1,0,20,20,22,22,24,0,25
6,2,18,0,20,20,22,22,24,0
6,3,0,18,0,20,20,22,22,24
6,4,17,0,18,0,20,20,22,22
6,5,18,17,0,18,0,20,20,22
6,6,18,18,17,0,18,0,20,20
6,7,20,18,18,17,0,18,0,20
6,8,20,20,18,18,17,0,18,0
7,1,0,20,20,18,18,17,0,18
7,2,10,0,20,20,18,18,17,0
7,3,0,10,0,20,20,18,18,17
7,4,8,0,10,0,20,20,18,18
7,5,1,8,0,10,0,20,20,18
7,6,6,1,8,0,10,0,20,20
7,7,1,6,1,8,0,10,0,20
7,8,5,1,6,1,8,0,10,0
8,1,13,5,1,6,1,8,0,10
8,2,3,13,5,1,6,1,8,0
8,3,13,3,13,5,1,6,1,8
8,4,1,13,3,13,5,1,6,1
8,5,0,1,13,3,13,5,1,6
8,6,1,0,1,13,3,13,5,1
8,7,0,1,0,1,13,3,13,5
8,8,1,0,1,0,1,13,3,13
